X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-11675426.4181,4805319.7275,15,15,118,ARROW ELECTRONICS,9201 EAST DRY CREEK ROAD,NOT AVAILABLE,CENTENNIAL,CO,80112,ARAPAHOE,18700,23825,39.581553,-104.88214,MANUAL,ON-ENTITY,08005,NOT AVAILABLE,HTTPS://WWW.ARROW.COM/,522.8
-11673791.1348,4800503.512,16,16,494,CH2M HILL,9191 SOUTH JAMAICA STREET,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,20000,5236,39.5482,-104.86745,BING MAPS,ADDRESS,08005,NOT AVAILABLE,HTTPS://WWW.CH2M.COM/,15
-11672445.2821,4800050.2113,17,17,186,DISH NETWORK,9601 SOUTH MERIDIAN BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,16000,15095,39.54506,-104.85536,BING MAPS,ADDRESS,08005,NOT AVAILABLE,HTTPS://WWW.DISH.COM/,1449.9
-11671371.0491,4801222.4832,18,18,269,LIBERTY INTERACTIVE,12300 LIBERTY BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,21080,10647,39.55318,-104.84571,BING MAPS,ADDRESS,08005,NOT AVAILABLE,HTTP://WWW.LIBERTYINTERACTIVE.COM/,1235
-11671371.0491,4801222.4832,19,19,491,LIBERTY MEDIA,12300 LIBERTY BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,3626,5276,39.55318,-104.84571,BING MAPS,ADDRESS,08005,NOT AVAILABLE,HTTP://WWW.LIBERTYMEDIA.COM/,680
-11671283.1067,4800308.619,20,20,478,WESTERN UNION,12500 EAST BELFORD AVENUE,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,10700,5423,39.54685,-104.84492,BING MAPS,ADDRESS,08005,NOT AVAILABLE,HTTPS://WWW.WESTERNUNION.COM/US/EN/HOME.HTML,253.2
-8584136.4789,4704475.6997,21,21,194,AES,4300 WILSON BOULEVARD,NOT AVAILABLE,ARLINGTON,VA,22203,ARLINGTON,19000,14287,38.87985,-77.11261,BING MAPS,ADDRESS,51013,NOT AVAILABLE,HTTP://AES.COM/,-1130
-8579406.5138,4706592.3039,22,22,415,CALATLANTIC GROUP,1100 WILSON BOULEVARD,SUITE 2100,ARLINGTON,VA,22209,ARLINGTON,3055,6477,38.89465,-77.07012,BING MAPS,ADDRESS,51013,NOT AVAILABLE,HTTPS://WWW.CALATLANTICHOMES.COM/,484.7
-9564933.5505,4750937.964,23,23,159,CUMMINS,500 JACKSON STREET,NOT AVAILABLE,COLUMBUS,IN,47201,BARTHOLOMEW,55400,17509,39.20402,-85.92326,BING MAPS,ADDRESS,18005,NOT AVAILABLE,HTTPS://WWW.CUMMINS.COM/,1394
-10488258.5953,4350929.9425,24,24,1,WALMART,702 SW 8TH STREET,NOT AVAILABLE,BENTONVILLE,AR,72716,BENTON,2300000,485873,36.36477,-94.21763,BING MAPS,ADDRESS,05007,NOT AVAILABLE,HTTPS://WWW.WALMART.COM/,13643
-10480446.1935,4334426.9813,25,25,407,J.B. HUNT TRANSPORT SERVICES,615 J.B. HUNT CORPORATE DRIVE,NOT AVAILABLE,LOWELL,AR,72745,BENTON,22190,6556,36.2453,-94.14745,BING MAPS,ADDRESS,05007,NOT AVAILABLE,HTTPS://WWW.JBHUNT.COM/,432.1
-8251802.1579,4997243.509,26,26,397,SEALED AIR,200 RIVERFRONT BOULEVARD,NOT AVAILABLE,ELMWOOD PARK,NJ,07407,BERGEN,23000,6778,40.89756,-74.1272,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTPS://SEALEDAIR.COM/,486.4
-8260754.4714,5014721.1264,27,27,225,BECTON DICKINSON,1 BECTON DRIVE,NOT AVAILABLE,FRANKLIN LAKES,NJ,07417,BERGEN,50928,12483,41.01613,-74.20762,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTP://WWW.BD.COM/,976
-8256650.1218,5023327.7549,28,28,384,ASCENA RETAIL GROUP,933 MACARTHUR BOULEVARD,NOT AVAILABLE,MAHWAH,NJ,07430,BERGEN,41000,6995,41.07444,-74.17075,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTP://ASCENARETAIL.COM/,-11.9
-8238373.6878,4993771.4748,29,29,205,COGNIZANT TECHNOLOGY SOLUTIONS,500 FRANK W BURR BOULEVARD,NOT AVAILABLE,TEANECK,NJ,07666,BERGEN,260200,13487,40.87398,-74.00657,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTPS://WWW.COGNIZANT.COM/,1553
-9622569.2169,5183343.1362,30,30,137,WHIRLPOOL,2000 NORTH M-63,NOT AVAILABLE,BENTON HARBOR,MI,49022,BERRIEN,93000,20718,42.14912,-86.44101,BING MAPS,ADDRESS,26021,NOT AVAILABLE,HTTPS://WWW.WHIRLPOOL.COM/,888
-10962675.5484,3438473.1642,31,31,426,IHEARTMEDIA,200 EAST BASSE ROAD,SUITE 100,SAN ANTONIO,TX,78209,BEXAR,18700,6274,29.49244,-98.47939,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTPS://WWW.IHEARTMEDIA.COM/,-296.3
-10956215.6784,3455364.8542,32,32,307,CST BRANDS,19500 BULVERDE ROAD,SUITE 200,SAN ANTONIO,TX,78259,BEXAR,12380,9061,29.624432,-98.42136,MANUAL,ON-ENTITY,48029,"ON JUNE 28, 2017 CST BRANDS WAS ACQUIRED BY ALIMENTATION COUCHE-TARD.",HTTP://CORPO.COUCHE-TARD.COM/EN/,324
-10976769.7092,3450852.5949,33,33,37,VALERO ENERGY,1 VALERO WAY,NOT AVAILABLE,SAN ANTONIO,TX,78249,BEXAR,9996,70166,29.58919,-98.606,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTPS://WWW.VALERO.COM/EN-US,2289
-10960451.385,3454297.9124,34,34,117,ANDEAVOR,19100 RIDGEWOOD PARKWAY,NOT AVAILABLE,SAN ANTONIO,TX,78259,BEXAR,6308,24005,29.6161,-98.45941,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTP://WWW.ANDEAVOR.COM/,734
-10973096.166,3443859.7996,35,35,102,USAA,9800 FREDERICKSBURG ROAD,NOT AVAILABLE,SAN ANTONIO,TX,78288,BEXAR,29943,27131,29.53455,-98.573,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTPS://WWW.USAA.COM/,1779.1
-8976622.2868,3260489.5149,36,36,363,HARRIS,1025 WEST NASA BOULEVARD,NOT AVAILABLE,MELBOURNE,FL,32919,BREVARD,21000,7527,28.0913,-80.63837,BING MAPS,ADDRESS,12009,NOT AVAILABLE,HTTPS://WWW.HARRIS.COM/,324
-11699589.4268,4853121.9511,37,37,306,BALL,10 LONGS PEAK DRIVE,NOT AVAILABLE,BROOMFIELD,CO,80021,BROOMFIELD,18450,9061,39.91172,-105.0992,BING MAPS,ADDRESS,08014,NOT AVAILABLE,HTTP://WWW.BALL.COM/REGION-SELECTION,263
-11704606.5962,4854410.7874,38,38,336,LEVEL 3 COMMUNICATIONS,1025 ELDORADO BOULEVARD,NOT AVAILABLE,BROOMFIELD,CO,80021,BROOMFIELD,12600,8172,39.9206,-105.14427,BING MAPS,ADDRESS,08014,NOT AVAILABLE,HTTP://WWW.LEVEL3.COM/EN/,677
-8921610.4208,3013953.544,39,39,129,AUTONATION,200 SW 1ST AVENUE,NOT AVAILABLE,FORT LAUDERDALE,FL,33301,BROWARD,26000,21609,26.12002,-80.14419,BING MAPS,ADDRESS,12011,NOT AVAILABLE,HTTPS://WWW.AUTONATION.COM/,430.5
-8327541.7131,4879342.3161,40,40,463,BURLINGTON STORES,2006 ROUTH 130,NOT AVAILABLE,BURLINGTON,NJ,08016,BURLINGTON,40000,5591,40.09215,-74.80758,BING MAPS,ADDRESS,34005,NOT AVAILABLE,HTTPS://WWW.BURLINGTON.COM/,215.9
-9409085.1502,4765919.5387,41,41,476,CINCINNATI FINANCIAL,6200 SOUTH GILMORE ROAD,NOT AVAILABLE,FAIRFIELD,OH,45014,BUTLER,4754,5449,39.30823,-84.52325,BING MAPS,ADDRESS,39017,NOT AVAILABLE,HTTPS://WWW.CINFIN.COM/,590.7
-9398473.0631,4768716.7648,42,42,441,AK STEEL HOLDING,9227 CENTRE POINT DRIVE,NOT AVAILABLE,WEST CHESTER,OH,45069,BUTLER,8500,5883,39.32767,-84.42792,BING MAPS,ADDRESS,39017,NOT AVAILABLE,HTTP://WWW.AKSTEEL.COM/,-7.8
-9487740.1628,5213899.2375,43,43,216,KELLOGG,1 KELLOGG SQUARE,NOT AVAILABLE,BATTLE CREEK,MI,49017,CALHOUN,37369,13014,42.3523,-85.22982,BING MAPS,ADDRESS,26025,NOT AVAILABLE,HTTPS://WWW.KELLOGGS.COM/EN_US/HOME.HTML,694
-8360914.1832,4857542.1367,44,44,339,CAMPBELL SOUP,1 CAMPBELL PLACE,NOT AVAILABLE,CAMDEN,NJ,08103,CAMDEN,16500,7961,39.94217,-75.10737,BING MAPS,ADDRESS,34007,NOT AVAILABLE,HTTPS://WWW.CAMPBELLS.COM/CAMPBELL-SOUP/,563
-8487163.8441,4407071.0445,45,45,136,DOLLAR TREE,500 VOLVO PARKWAY,NOT AVAILABLE,CHESAPEAKE,VA,23320,CHESAPEAKE (CITY),116050,20719,36.76982,-76.24149,BING MAPS,ADDRESS,51550,NOT AVAILABLE,HTTPS://WWW.DOLLARTREE.COM/,896.2
-8428175.6459,4843745.1817,46,46,454,GENESIS HEALTHCARE,101 EAST STATE STREET,NOT AVAILABLE,KENNETT SQUARE,PA,19348,CHESTER,82000,5733,39.84708,-75.71159,BING MAPS,ADDRESS,42029,NOT AVAILABLE,HTTP://WWW.GENESISHCC.COM/,-64
-12820822.7151,4317418.6388,47,47,249,LAS VEGAS SANDS,3355 LAS VEGAS BOULEVARD SOUTH,NOT AVAILABLE,LAS VEGAS,NV,89109,CLARK,49000,11410,36.12198,-115.17141,BING MAPS,ADDRESS,32003,NOT AVAILABLE,HTTPS://WWW.SANDS.COM/,1670
-12821438.3119,4316047.4969,48,48,297,MGM RESORTS INTERNATIONAL,3600 LAS VEGAS BOULEVARD SOUTH,NOT AVAILABLE,LAS VEGAS,NV,89109,CLARK,66500,9455,36.11203,-115.17694,BING MAPS,ADDRESS,32003,NOT AVAILABLE,HTTPS://WWW.MGMRESORTS.COM/EN.HTML,1101.4
-9403126.2179,4014739.9535,49,49,180,GENUINE PARTS,2999 CIRCLE 75 PARKWAY,NOT AVAILABLE,ATLANTA,GA,30339,COBB,40000,15340,33.89521,-84.46972,BING MAPS,ADDRESS,13067,NOT AVAILABLE,HTTPS://WWW.GENPT.COM/,687.2
-9402686.5059,4012344.9933,50,50,364,HD SUPPLY HOLDINGS,3100 CUMBERLAND BOULEVARD,SUITE 1700,ATLANTA,GA,30339,COBB,14000,7524,33.87735,-84.46577,BING MAPS,ADDRESS,13067,NOT AVAILABLE,HTTP://WWW.HDSUPPLY.COM/,196
-9404601.2011,4010282.9937,51,51,23,HOME DEPOT,2455 PACES FERRY ROAD NW,NOT AVAILABLE,ATLANTA,GA,30339,COBB,406000,94595,33.86197,-84.48297,BING MAPS,ADDRESS,13067,NOT AVAILABLE,HTTPS://WWW.HOMEDEPOT.COM/,7957
-10778352.7356,3906051.0007,52,52,378,ALLIANCE DATA SYSTEMS,7500 DALLAS PARKWAY,SUITE 700,PLANO,TX,75024,COLLIN,17000,7138,33.08093,-96.82359,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTPS://WWW.ALLIANCEDATA.COM/,515.8
-10776256.5896,3905346.8889,53,53,416,DR PEPPER SNAPPLE GROUP,5301 LEGACY DRIVE,NOT AVAILABLE,PLANO,TX,75024,COLLIN,20000,6440,33.07563,-96.80476,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTPS://WWW.DRPEPPERSNAPPLEGROUP.COM/,847
-10779256.6498,3906073.5861,54,54,221,J.C. PENNEY,6501 LEGACY DRIVE,NOT AVAILABLE,PLANO,TX,75024,COLLIN,106000,12547,33.0811,-96.83171,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTPS://WWW.JCPENNEY.COM/,1
-10779665.1924,3905180.831,55,55,399,YUM CHINA HOLDINGS,7100 CORPORATE DRIVE,NOT AVAILABLE,PLANO,TX,75024,COLLIN,420000,6752,33.07438,-96.83538,BING MAPS,ADDRESS,48085,NOT AVAILABLE,HTTP://WWW.YUM.COM/COMPANY/OUR-BRANDS/CHINA/,502
-13576490.5881,4545340.5675,56,56,19,CHEVRON,6001 BOLLINGER CANYON ROAD,NOT AVAILABLE,SAN RAMON,CA,94583,CONTRA COSTA,55200,107567,37.75832,-121.95969,BING MAPS,ADDRESS,06013,NOT AVAILABLE,HTTPS://WWW.CHEVRON.COM/,-497
-9780286.6714,5159316.8629,57,57,124,US FOODS HOLDING,9399 WEST HIGGINS ROAD,SUITE 500,ROSEMONT,IL,60018,COOK,25000,22919,41.9889,-87.85781,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.USFOODS.COM/,209.8
-9776452.8281,5175561.173,58,58,359,ANIXTER INTERNATIONAL,2301 PATRIOT BOULEVARD,NOT AVAILABLE,GLENVIEW,IL,60026,COOK,8900,7625,42.09727,-87.82337,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.ANIXTER.COM/EN_US.HTML,120.5
-9778976.441,5174124.0449,59,59,202,ILLINOIS TOOL WORKS,3600 WEST LAKE AVENUE,NOT AVAILABLE,GLENVIEW,IL,60026,COOK,50000,13599,42.08769,-87.84604,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.ITW.COM/,2035
-9781726.0324,5175831.2213,60,60,84,ALLSTATE,2775 SANDERS ROAD,NOT AVAILABLE,NORTHBROOK,IL,60062,COOK,43275,36534,42.09907,-87.87074,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.ALLSTATE.COM/,1877
-9753925.7707,5143812.9466,61,61,106,KRAFT HEINZ,200 EAST RANDOLPH STREET,NOT AVAILABLE,CHICAGO,IL,60601,COOK,41000,26487,41.885297,-87.621006,MANUAL,ON-ENTITY,17031,NOT AVAILABLE,HTTP://WWW.KRAFTHEINZCOMPANY.COM/,3632
-9785233.7096,5137876.0703,62,62,456,INGREDION,5 WESTBROOK CORPORATE CENTER,SUITE 500,WESTCHESTER,IL,60154,COOK,11000,5704,41.84558,-87.90225,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.INGREDION.COM/,484.9
-9820999.5488,5172994.5966,63,63,127,SEARS HOLDINGS,3333 BEVERLY ROAD,NOT AVAILABLE,HOFFMAN ESTATES,IL,60179,COOK,140000,22138,42.08016,-88.22354,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.SEARS.COM/,-2221
-9756125.8891,5143146.9814,64,64,433,MOTOROLA SOLUTIONS,500 WEST MONROE STREET,SUITE 4400,CHICAGO,IL,60661,COOK,14000,6038,41.880843,-87.64077,MANUAL,ON-ENTITY,17031,NOT AVAILABLE,HTTPS://WWW.MOTOROLASOLUTIONS.COM/EN_US.HTML,560
-9753978.5362,5143807.4142,65,65,391,JONES LANG LASALLE,200 EAST RANDOLPH DRIVE,NOT AVAILABLE,CHICAGO,IL,60601,COOK,77300,6804,41.88526,-87.62148,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.US.JLL.COM/UNITED-STATES/EN-US,318.2
-9754291.3439,5144082.5457,66,66,439,OLD REPUBLIC INTERNATIONAL,307 NORTH MICHIGAN AVENUE,NOT AVAILABLE,CHICAGO,IL,60601,COOK,8500,5901,41.8871,-87.62429,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.OLDREPUBLIC.COM/,466.9
-9754942.5629,5143219.7957,67,67,89,EXELON,10 SOUTH DEARBORN STREET,NOT AVAILABLE,CHICAGO,IL,60603,COOK,34396,31360,41.88133,-87.63014,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.EXELONCORP.COM/,1134
-9755878.7599,5143551.7284,68,68,24,BOEING,100 NORTH RIVERSIDE PLAZA,NOT AVAILABLE,CHICAGO,IL,60606,COOK,150540,94571,41.88355,-87.63855,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.BOEING.COM/,4895
-9754836.5868,5144005.2389,69,69,388,R.R. DONNELLEY & SONS,35 W WACKER DRIVE,NOT AVAILABLE,CHICAGO,IL,60606,COOK,44360,6896,41.886583,-87.629188,MANUAL,ON-ENTITY,17031,NOT AVAILABLE,HTTPS://WWW.RRDONNELLEY.COM/,-495.9
-9755592.6688,5142826.5751,70,70,83,UNITED CONTINENTAL HOLDINGS,233 SOUTH WACKER DRIVE,NOT AVAILABLE,CHICAGO,IL,60606,COOK,88000,36556,41.8787,-87.63598,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTPS://WWW.UNITED.COM/UAL/EN/US/,2263
-9756092.4933,5143372.3039,71,71,304,LKQ,500 WEST MADISON STREET,SUITE 2800,CHICAGO,IL,60661,COOK,42500,9082,41.88235,-87.64047,BING MAPS,ADDRESS,17031,NOT AVAILABLE,HTTP://WWW.LKQCORP.COM/EN-US/,464
-8561990.5794,4903322.937,72,72,91,RITE AID,30 HUNTER LANE,NOT AVAILABLE,CAMP HILL,PA,17011,CUMBERLAND,70580,30737,40.25675,-76.91367,BING MAPS,ADDRESS,42041,NOT AVAILABLE,HTTPS://WWW.RITEAID.COM/,165.5
-9094135.5941,5086513.3653,73,73,479,KEYCORP,127 PUBLIC SQUARE,NOT AVAILABLE,CLEVELAND,OH,44114,CUYAHOGA,15700,5422,41.50094,-81.69401,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.KEY.COM/PERSONAL/INDEX.JSP?KEY=COM,791
-9094088.8399,5085997.6153,74,74,236,SHERWIN-WILLIAMS,101 WEST PROSPECT AVENUE,SUITE 1020,CLEVELAND,OH,44115,CUYAHOGA,42550,11856,41.49747,-81.69359,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.SHERWIN-WILLIAMS.COM/,1132.7
-9068191.4735,5087396.2982,75,75,251,PARKER-HANNIFIN,6035 PARKLAND BOULEVARD,NOT AVAILABLE,CLEVELAND,OH,44124,CUYAHOGA,48950,11361,41.50688,-81.46095,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTP://WWW.PARKER.COM/PORTAL/SITE/PARKER/,806.8
-9067146.1835,5091880.5888,76,76,120,PROGRESSIVE,6300 WILSON MILLS ROAD,NOT AVAILABLE,MAYFIELD VILLAGE,OH,44143,CUYAHOGA,31721,23441,41.53704,-81.45156,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.PROGRESSIVE.COM/,1031
-9116416.1901,5079907.3156,77,77,470,TRAVELCENTERS OF AMERICA,24601 CENTER RIDGE ROAD,SUITE 200,WESTLAKE,OH,44145,CUYAHOGA,20259,5511,41.45648,-81.89416,BING MAPS,ADDRESS,39035,NOT AVAILABLE,HTTPS://WWW.TA-PETRO.COM/,-2
-10359706.8474,5600989.2805,78,78,93,CHS,5500 CENEX DRIVE,NOT AVAILABLE,INVER GROVE HEIGHT,MN,55077,DAKOTA,12157,30347,44.86943,-93.06283,BING MAPS,ADDRESS,27037,NOT AVAILABLE,HTTP://WWW.CHSINC.COM/,424.2
-10368592.3691,5600675.142,79,79,466,PATTERSON,1031 MENDOTA HEIGHTS ROAD,NOT AVAILABLE,SAINT PAUL,MN,55120,DAKOTA,7000,5555,44.86743,-93.14265,BING MAPS,ADDRESS,27037,NOT AVAILABLE,HTTPS://WWW.PATTERSONCOMPANIES.COM/HOME/DEFAULT.ASPX,187.2
-10792452.4623,3878050.7199,80,80,155,KIMBERLY-CLARK,351 PHELPS DRIVE,NOT AVAILABLE,IRVING,TX,75038,DALLAS,42000,18202,32.86992,-96.95025,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.KIMBERLY-CLARK.COM/EN-US,2166
-10791758.9419,3878257.4813,81,81,484,CELANESE,222 WEST LAS COLINAS BOULEVARD,NOT AVAILABLE,IRVING,TX,75039,DALLAS,7293,5389,32.87148,-96.94402,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.CELANESE.COM/,900
-10792399.0289,3880740.2279,82,82,4,EXXON MOBIL,5959 LAS COLINAS BOULEVARD,NOT AVAILABLE,IRVING,TX,75039,DALLAS,72700,205004,32.89021,-96.94977,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://CORPORATE.EXXONMOBIL.COM/,7840
-10792392.3498,3882477.0043,83,83,149,FLUOR,6700 LAS COLINAS BOULEVARD,NOT AVAILABLE,IRVING,TX,75039,DALLAS,61551,19037,32.90331,-96.94971,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://WWW.FLUOR.COM/,281.4
-10794017.6143,3881819.3855,84,84,499,VISTRA ENERGY,6555 SIERRA DRIVE,NOT AVAILABLE,IRVING,TX,75039,DALLAS,4431,5164,32.89835,-96.96431,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.VISTRAENERGY.COM/,-99999
-10796692.6217,3884038.9967,85,85,496,MICHAELS COS.,8000 BENT BRANCH DRIVE,NOT AVAILABLE,IRVING,TX,75063,DALLAS,31000,5197,32.91509,-96.98834,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://WWW.MICHAELS.COM/,378.2
-10775321.5058,3866835.3846,86,86,421,BUILDERS FIRSTSOURCE,2001 BRYAN STREET,SUITE 1600,DALLAS,TX,75201,DALLAS,14000,6367,32.78526,-96.79636,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.BLDR.COM/,144.3
-10776637.3022,3868056.2858,87,87,274,HOLLYFRONTIER,2828 NORTH HARWOOD,SUITE 1300,DALLAS,TX,75201,DALLAS,2676,10536,32.79448,-96.80818,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.HOLLYFRONTIER.COM/HOME/DEFAULT.ASPX,-260.5
-10775648.7851,3866067.4205,88,88,9,AT&T,208 SOUTH AKARD STREET,NOT AVAILABLE,DALLAS,TX,75202,DALLAS,268540,163786,32.77946,-96.7993,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.ATT.COM/WIRELESS/,12976
-10776015.0263,3866781.0958,89,89,134,TENET HEALTHCARE,1445 ROSS AVENUE,NOT AVAILABLE,DALLAS,TX,75202,DALLAS,116475,21070,32.78485,-96.80259,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTPS://WWW.TENETHEALTH.COM/,-192
-10774849.5112,3869522.329,90,90,351,DEAN FOODS,2711 NORTH HASKELL AVENUE,NOT AVAILABLE,DALLAS,TX,75204,DALLAS,17000,7710,32.80555,-96.79212,BING MAPS,ADDRESS,48113,NOT AVAILABLE,HTTP://WWW.DEANFOODS.COM/,119.9
